vendor_id,vendor_state,is_vendor_smb,vendor_created,location_id,location_timezone,location_sunday_open,location_sunday_closed,location_monday_open,location_monday_closed,location_tuesday_open,location_tuesday_closed,location_wednesday_open,location_wednesday_closed,location_thursday_open,location_thursday_closed,location_friday_open,location_friday_closed,location_saturday_open,location_saturday_closed,location_is_active,location_created_at,location_updated_at
2029,cancelled,1,2016-03-22 14:01:36,2451,America/Toronto,,,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:30:00,10:00:00,16:30:00,10:00:00,16:00:00,1,2016-03-22 14:08:08,2022-07-26 19:07:11
760,paid,1,2013-10-20 16:49:00,2552,America/Toronto,,,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,,,10:00:00,17:00:00,1,2016-04-02 00:04:40,2021-01-02 21:23:28
1558,expired,0,2015-05-20 18:31:04,3198,America/Dawson,10:00:00,20:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,1,2016-12-16 17:39:48,2017-05-02 22:39:23
1683,paid,1,2015-08-05 15:56:47,3408,America/Regina,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2017-04-17 15:44:41,2024-12-31 14:35:04
2445,paid,0,2017-07-25 19:28:32,3499,America/Regina,12:00:00,17:00:00,10:00:00,17:30:00,10:00:00,17:30:00,10:00:00,17:30:00,10:00:00,21:00:00,10:00:00,17:30:00,10:00:00,17:30:00,1,2017-08-08 16:37:24,2026-05-11 16:11:25
2505,paid,0,2018-07-31 16:25:53,4119,America/Vancouver,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2018-09-11 19:00:45,2025-01-10 21:13:36
2516,live,0,2018-10-15 14:43:05,4174,America/Toronto,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2018-10-15 14:43:06,2020-03-18 20:07:01
2521,paid,0,2018-11-14 15:22:32,4213,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,,,1,2018-11-14 15:36:00,2026-03-17 21:20:10
2521,paid,0,2018-11-14 15:22:32,4216,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2018-11-15 01:22:55,2026-04-25 14:05:38
2521,paid,0,2018-11-14 15:22:32,4225,America/Winnipeg,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2018-11-15 02:16:33,2026-03-31 17:59:14
