id,vendor_id,duration,flex_time,buffer_post,active,sort_order,classification,created,updated
21003,2562,15,0,0,1,15,1,2024-02-28 15:00:03,2026-01-05 16:05:12
21005,2562,15,0,0,1,17,1,2024-02-28 15:12:44,2026-01-05 16:05:12
21007,2562,15,0,0,1,19,1,2024-02-28 15:15:06,2026-01-05 16:05:12
21009,2532,45,0,15,1,109,1,2024-02-29 18:42:36,2026-01-06 17:42:57
21015,2639,45,0,15,1,2,1,2024-03-04 06:59:29,2026-02-10 02:16:35
21019,2639,45,0,15,1,22,1,2024-03-04 06:59:30,2026-03-02 19:58:34
21021,2639,45,0,15,1,6,1,2024-03-04 06:59:30,2026-03-02 19:44:25
21029,2639,45,0,15,1,12,1,2024-03-04 06:59:30,2026-03-02 19:46:24
21039,2509,60,0,30,1,56,11,2024-03-12 12:57:13,2026-02-04 14:43:28
21044,2639,45,0,15,1,31,1,2024-03-12 21:47:33,2026-03-02 19:58:34
21072,2532,30,0,15,1,110,1,2024-04-15 15:34:09,2025-11-25 22:26:20
21157,747,30,0,0,1,13,1,2024-05-21 21:04:24,2024-06-20 17:13:45
21188,2519,60,0,0,1,37,1,2024-06-25 16:18:42,2025-04-04 09:38:09
21236,2510,90,0,0,1,6,15,2024-07-30 16:08:19,2024-10-22 15:19:17
21279,2396,30,0,0,1,21,1,2024-09-11 21:21:52,2025-05-09 15:06:47
21281,2507,90,0,0,1,30,10,2024-09-12 18:11:46,2025-03-18 15:22:47
21288,2512,90,0,0,1,26,3,2024-09-12 18:34:54,2026-04-01 13:19:54
21290,2510,90,0,0,1,32,10,2024-09-12 18:40:57,2025-03-18 15:22:52
21302,2608,45,0,15,0,30,10,2024-09-19 21:26:09,2025-10-21 18:53:59
21349,2643,45,0,15,1,30,1,2024-10-02 20:28:04,2025-06-02 23:02:25
21389,2552,30,0,0,1,53,1,2024-10-24 13:42:32,2024-11-20 18:21:18
21400,2525,60,0,30,1,36,10,2024-11-04 19:08:56,2025-06-21 04:49:39
21415,2430,45,0,0,1,40,1,2024-11-07 18:20:51,2024-12-18 17:42:34
21429,2521,90,0,0,1,32,10,2024-11-25 18:46:49,2026-05-05 21:04:53
21450,2648,60,0,15,1,9,1,2024-12-17 14:43:16,2025-04-02 18:38:07
21456,2521,90,0,0,1,35,1,2024-12-19 21:49:34,2026-02-26 15:10:38
21457,2521,60,0,0,1,36,1,2024-12-19 21:51:56,2026-02-26 15:10:38
21460,2521,60,0,0,1,39,1,2024-12-19 22:01:40,2026-02-26 15:10:38
21467,2521,60,0,0,1,46,1,2024-12-19 22:14:14,2026-02-26 15:10:38
21471,2521,60,0,0,1,48,1,2024-12-20 14:00:11,2026-02-26 15:10:38
21483,2521,60,0,0,1,59,1,2024-12-20 14:18:36,2026-02-26 15:10:38
21518,1249,45,0,0,0,2,1,2025-01-14 22:45:51,2025-02-19 22:50:14
21526,2624,60,0,30,1,48,11,2025-01-15 02:45:34,2026-05-05 02:07:02
21545,2532,45,0,15,1,2,1,2025-01-28 19:25:50,2025-11-25 22:26:20
21598,2650,60,0,0,1,2,1,2025-03-14 16:24:20,2025-06-26 21:56:17
21600,2650,30,0,0,1,4,1,2025-03-14 16:24:21,2025-10-21 17:10:51
21608,2650,90,0,0,1,12,1,2025-03-14 16:24:21,2025-06-26 21:58:37
21610,2650,60,0,0,1,14,1,2025-03-14 16:24:21,2025-06-26 21:58:55
21647,1741,30,0,0,1,119,1,2025-03-18 00:29:26,2025-03-18 00:29:26
21648,2589,45,0,0,1,55,1,2025-03-19 14:42:53,2025-11-24 22:41:46
21652,2597,60,0,30,1,39,1,2025-03-20 19:03:26,2025-03-20 19:03:26
21689,2532,45,0,15,1,123,1,2025-04-11 19:37:20,2025-11-25 22:26:20
21696,2496,45,0,15,1,32,11,2025-04-15 20:55:19,2025-09-16 18:25:32
21728,2608,60,0,30,1,40,1,2025-05-08 16:51:36,2025-10-21 18:53:59
21760,2645,120,0,0,1,6,1,2025-05-28 16:36:25,2025-08-19 18:24:12
21811,2651,60,0,30,1,7,2,2025-06-16 17:16:23,2025-07-30 17:37:20
21812,2651,60,0,30,1,8,11,2025-06-16 17:17:02,2025-10-27 20:36:59
21827,2651,60,0,30,1,17,1,2025-06-23 06:53:41,2026-04-08 20:29:11
21834,2649,30,0,0,1,36,1,2025-06-27 12:17:27,2025-12-19 00:22:28
21843,2589,45,0,0,1,63,1,2025-07-08 17:53:38,2025-07-14 21:13:36
21867,2651,60,0,15,1,18,1,2025-07-30 16:34:07,2026-03-31 16:53:45
21880,954,15,0,0,1,37,1,2025-08-11 03:47:12,2026-02-03 17:21:39
21899,2554,30,0,30,0,78,1,2025-08-25 17:52:18,2025-11-21 17:18:11
21927,2649,30,0,0,1,53,1,2025-09-26 14:09:39,2025-09-26 14:14:07
22001,2649,45,0,0,1,70,1,2025-12-10 20:04:08,2025-12-10 20:04:08
17953,2554,60,0,15,1,18,2,2020-06-04 14:20:42,2026-03-06 22:12:29
17961,2554,30,0,0,0,27,14,2020-06-04 14:52:40,2025-02-26 22:04:01
17966,2554,15,0,0,1,39,7,2020-06-04 14:52:41,2026-04-23 20:39:27
17997,2532,60,0,15,1,1,1,2020-06-15 00:38:06,2025-11-25 22:26:20
17999,2532,30,0,0,1,4,1,2020-06-16 18:25:59,2025-11-25 22:26:20
18010,2556,60,0,30,1,9,15,2020-06-17 19:15:32,2025-06-21 04:54:19
18019,2556,60,0,30,1,19,6,2020-06-17 19:15:33,2025-06-21 04:54:19
18029,2556,30,0,15,1,30,3,2020-06-17 19:15:34,2025-06-21 04:54:19
18065,486,90,0,0,1,14,1,2020-07-17 01:40:22,2026-02-21 00:15:41
18131,2562,45,0,15,1,7,11,2020-09-02 13:57:29,2026-01-05 16:05:12
18135,2562,45,0,15,1,6,11,2020-09-02 13:57:29,2026-01-05 16:05:12
18137,2562,60,0,15,1,10,2,2020-09-02 13:57:29,2026-01-05 16:05:12
18160,2532,45,0,30,1,35,6,2020-09-16 21:47:28,2025-11-25 22:26:20
18162,2532,30,0,30,1,72,18,2020-09-16 21:51:32,2026-04-15 23:42:42
18237,2532,45,0,15,1,38,1,2020-10-22 04:18:18,2025-11-25 22:26:20
18267,2537,60,0,0,1,43,10,2020-11-02 20:43:25,2024-08-21 16:56:19
18268,2537,90,1,0,1,44,10,2020-11-02 20:46:35,2026-03-23 15:17:56
18270,2537,60,0,0,1,46,2,2020-11-02 20:49:56,2024-08-21 15:29:00
18278,2537,60,0,0,1,54,1,2020-11-02 21:23:02,2023-06-20 15:52:25
18286,2567,45,0,15,1,1,12,2020-11-03 17:38:09,2025-05-23 22:06:00
18289,2567,45,0,15,1,3,6,2020-11-03 17:38:10,2025-05-23 22:09:48
18293,2567,45,0,15,1,7,15,2020-11-03 17:38:10,2025-05-23 22:18:15
18300,2567,45,0,15,1,17,2,2020-11-03 17:38:10,2026-01-21 17:14:24
18303,2567,60,0,15,0,23,10,2020-11-03 17:38:11,2025-08-06 21:15:13
18304,2567,45,0,15,1,25,18,2020-11-03 17:38:11,2025-07-15 18:10:58
18323,2509,60,0,30,1,30,2,2020-11-11 14:02:30,2025-12-30 21:05:57
18325,2509,60,0,30,0,50,12,2020-11-11 14:04:38,2026-03-31 18:28:01
18357,2509,90,0,30,1,55,10,2020-11-17 15:42:30,2026-02-04 14:43:38
18418,435,30,0,0,1,41,1,2020-11-25 20:02:34,2020-12-09 20:08:16
18422,2568,60,0,0,1,2,1,2020-11-27 18:47:27,2023-02-15 15:57:04
18423,2568,60,0,0,1,3,1,2020-11-27 18:47:27,2023-02-15 15:57:04
18425,2568,90,0,0,1,5,1,2020-11-27 18:47:27,2023-02-15 15:57:04
18457,2567,60,0,15,1,20,7,2020-12-12 17:18:31,2025-04-30 00:24:20
18608,2532,45,0,15,1,44,12,2021-01-20 00:31:52,2025-11-25 22:26:20
18630,2575,60,0,0,1,6,15,2021-01-21 19:32:28,2024-02-01 18:00:38
18674,2563,60,0,15,1,1,12,2021-01-26 17:42:25,2021-03-01 23:08:28
18681,2563,60,0,15,1,8,6,2021-01-26 17:42:25,2021-06-09 22:11:30
18682,2563,60,0,15,1,9,6,2021-01-26 17:42:25,2021-03-01 23:15:27
18704,2563,60,0,15,1,31,15,2021-01-26 17:42:25,2021-04-16 14:14:34
18714,2532,45,0,30,1,45,6,2021-02-02 23:51:42,2025-11-25 22:26:20
18742,2573,60,0,0,1,42,3,2021-02-12 16:44:40,2024-07-09 16:33:54
18746,2573,120,0,30,1,38,6,2021-02-12 16:44:40,2024-02-15 22:20:34
18780,2576,90,0,30,1,2,15,2021-02-25 23:29:00,2021-03-08 17:38:08
18789,2532,45,0,15,1,46,10,2021-03-01 17:49:49,2025-11-25 22:26:20
18806,2573,30,0,30,1,39,3,2021-03-05 18:19:11,2023-02-27 23:38:59
18808,2573,120,0,15,1,32,6,2021-03-05 19:31:10,2024-02-15 22:20:06
18814,2573,45,0,15,1,22,15,2021-03-06 19:21:34,2024-04-22 20:48:13
18817,2573,30,0,15,1,16,15,2021-03-06 22:32:38,2023-05-26 14:01:59
18862,2585,60,0,0,1,3,7,2021-04-07 13:53:01,2026-05-06 02:29:51
18863,2585,60,0,0,1,4,11,2021-04-07 13:53:01,2026-05-06 02:29:45
18897,2566,30,0,0,1,24,1,2021-04-14 18:09:07,2024-04-11 14:19:38
18980,2532,45,0,15,1,51,10,2021-05-21 17:25:00,2025-11-25 22:26:20
18981,2554,15,0,15,0,57,12,2021-05-21 17:40:06,2025-05-01 12:07:41
18987,2591,60,0,30,1,3,1,2021-05-31 19:31:03,2024-09-12 14:34:00
19014,2562,15,0,0,1,14,2,2021-06-03 18:47:57,2026-01-05 16:05:12
19045,2566,30,0,0,1,29,1,2021-06-15 19:18:46,2024-04-11 14:19:30
19049,2585,60,0,0,1,17,1,2021-06-17 17:31:35,2026-05-06 02:29:01
